text,head,tail,url,date
Richard Henry Lee to Mann Page ,Richard Henry Lee,Mann Page,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007418)),1777-08-17
Benjamin Harrison to George Washington ,Benjamin Harrison,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007436)),1777-08-20
John Hancock to George Washington ,John Hancock,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007454)),NA
Elbridge Gerry to James Warren ,Elbridge Gerry,James Warren,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007474)),1777-08-26
Henry Laurens to John Wereat ,Henry Laurens,John Wereat,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007493)),1777-08-30
Henry Marchant to Nicholas Cooke ,Henry Marchant,Nicholas Cooke,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007511)),NA
Samuel Chase to Thomas Johnson ,Samuel Chase,Thomas Johnson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007530)),NA
Richard Henry Lee to Patrick Henry ,Richard Henry Lee,Patrick Henry,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007549)),NA
John Hancock to George Washington ,John Hancock,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg007568)),1777-09-16
David Howell to Nicholas Brown ,David Howell,Nicholas Brown,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg0194)),1782-08-03
James Madison to Edmund Randolph ,James Madison,Edmund Randolph,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01927)),1782-08-09
David Howell to Silas Talbot ,David Howell,Silas Talbot,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01954)),NA
David Howell to Silas Talbot ,David Howell,Silas Talbot,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01975)),1782-08-28
David Ramsay to Nathanael Greene ,David Ramsay,Nathanael Greene,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg01998)),1782-09-10
